Batman2 vs2 Superman2 	batman2 vs2 superman2 
The2 director2 is2 Zack2 Snyder2 , 27% Rotten2 Tomatoes2 , 4.9/10. 	Zack2 Snyder2 director2 hai1 , 27% Rotten2 Tomatoes2 , 4.9/10. 
Not2 very2 popular2 it2 seems2 	lagta1 hai1 bahut1 popular1 nahi1 hai1 
But2 the2 audiences2 liked2 it2 . It2 has2 a1 B2 cinema2 score2 	but2 audience2 ne2 like1 kiya1 , iska1 cinema2 score2 B1 hai1 
Yes1 	yes1 
There2 is2 a2 huge2 divergence2 between2 proffession2 al2 critical2 opinion2 and2 regular2 movie2 goers2 	huge2 divergence2 hai2 professioan2 critic2 ke2 opinion2 aur2 ruglar1 movie1 dekhne1 walo1 ke1 beech1 
I've2 never2 seen2 it2 	maine1 to1 kabhi1 nahi1 dekha1 hai1 . 
I1 know2 the2 difference2 . 	mujhe1 difference2 pata1 hai1 
I2 can't2 believe2 they2 used2 Ben2 Affleck2 as2 Batman2 	Mujhe1 to1 believe2 hi1 nahi1 hota1 ki1 unhone1 Ben2 Affleck2 ko1 Bataman1 banaya1 . 
So2 it2 probably2 won't2 get2 any2 awards2 , but2 should2 have2 done2 well2 enough2 at2 the2 box2 office2 	So2 Probably2 isko1 koi1 award1 nahi1 mila1 , but2 box2 office2 par2 isko1 badhiya1 karna1 tha1 
It2 was2 a2 strange2 choice2 	bahut1 strange2 choice2 thi1 ye1 . 
Well2 it2 was2 made2 in2 2016 	haan1 tho1 yeh1 2016 me1 aaya1 
I'm2 just2 guessing2 as2 to2 what2 it2 may2 have2 accomplished2 back2 then2 	mein1 guess1 kartha1 hoon1 ki1 agar1 yeh1 accomplished2 fir2 se1 huva1 tho1 
Probably2 nothing2 with2 those2 scores2 	probably2 aise1 kuch1 scores1 ab1 thak1 nahi1 aaya1 
The2 box2 office2 gross2 is2 more2 important2 than2 critics2 acceptance2 for2 these2 blockbuster2 type2 movies2 	Box2 office1 mein1 tho1 iska1 itna2 important2 huva1 ki1 sabhi1 critics2 ko1 accept2 kiya1 aur2 blockbuster2 type2 ka1 movies2 banaya1 
I2 don't2 like2 how2 they2 made2 a2 whole2 new2 story2 line2 . 	muje1 us1 new2 story2 line2 ko1 bilkul1 pasand1 nahi1 aaya1 
They2 ruined2 it2 for2 me1 	voh1 tho1 itna1 ruined2 ho1 gaya1 
