Input,Predicted,Actual
And1 I2 am1 not2 sure2 these2 directors2 have2 done2 anything2 else2 noteworthy2 ?,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",haan1 mein1 bhi1 sure1 nahi1 is2 directors2 se2
"Rotten2 Tomatoes2 is2 91%, CinemaScore2 is2 A2 +, and2 Metacritic2 Score2 is2 a2 bit2 low2 at2 73/100.","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","roten1 tomaatoz1 91% hai1 , sinemaaskor1 e1 + hai1 , aur1 metaakritik1 skor2 73/100 par1 thoda1 kam1 hai1 ."
"also2 stars2 Evangeline2 Lilly2 ( woman2 for2 sure2 ""","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Evangeline2 Lilly2 ek1 mahila1 hai1
"Well2 , thanks2 for2 sharing2 this2 conversation2 with2 me1 . It2 seems2 that2 our2 time2 has2 come2 to2 an2 end2 . I2 hope2 you2 have2 a2 wonderful2 morning2 , afternoon2 , night2 wherever2 you2 are2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","acha1 , aapse1 baath1 karne1 mein1 bahut1 dhanyavad1 . muje1 lagtha1 hein1 ki1 hamara1 time1 ab1 khatma1 ho1 raha1 hein1 , aapka1 din1 acha1 rahane1 ka1 mera1 subh1 kamna1"
"I2 had2 totally2 forgotten2 that2 John2 Leuizamo2 was2 in2 this2 movie2 , he2 is2 like2 the2 ninja2 actor2 that2 shows2 up2 when2 you2 least2 expect2 it2 !","muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","muje1 tho1 bilkul1 yaad1 nahi1 ki1 john2 leuizamo2 us2 movie2 mein1 hein1 , voh1 tho1 ninja2 actor2 ke1 tarah1 hein1 sabhi2 showsup1 karte1"
Nice2 talking2 to2 you2,"haan1 , hai1 hai1",Aap1 se1 baat1 karke1 acha1 laga1
The2 movie2 sounds2 like2 something2 I2 would2 watch2,"muje1 , hai1 <unk> <unk> hai1 hai1",is2 movie1 ko1 tho1 mein1 jarur1 dekhunga1
Im2 doing2 great2 . Have2 you2 seen2 Toy2 Story2 before2 ?,"muje1 , hai1 <unk> <unk> <unk> hai1 <unk> hai1 .",Im2 doing2 great1 . kya1 aapne1 Toy1 Story2 pahle1 dekhi1 hai1 ?
didn't2 know2 he2 was2 the2 author2,"muje1 , hai1 <unk> <unk> hai1 hai1",pata1 nahi1 tha1 vo1 ek1 author2 tha2
oh1 I1 should2 have2 know2 seeking2 vengence2,"muje1 , hai1 <unk> <unk> hai1 hai1",Mujhe1 vengence2 ko1 dekhkar1 jankari1 mili1
It2 makes2 it2 almost2 more2 enjoyable2 since2 it2 is2 a2 new2 spin2,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",ye1 isey2 almost2 zyada2 enjoyable2 bana2 deti1 hai1 kyunki1 ye1 ek1 naya1 spin2 hai1
that2 is2 important2,"<unk> , hai1",Ye1 Important2 hai1
These2 storys2 based2 on2 true2 stories2 tend2 to2 always2 add2 so2 much2 stuff2 to2 keep2 it2 interesting2 that2 it2 kinda2 distorts2 history2 in2 my2 opinion2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",mere2 opinion2 me2 true2 stories2 pe2 based2 ye2 story1 hamesha1 history1 ko1 distort2 karti1 hain1 use1 interesting2 banane1 ke1 liye1 .
I2 don't2 remember2 either2 .,"mujhe1 , hai1 <unk> hai1",mujhe1 Yaad1 nahi1 hai1 .
yes1 he2 is2 the2 lead2 actor2,"haan1 , hai1 hai1 hai1",han1 wo2 lead2 actor2 hai1
ive2 seen2 it2 quite2 a2 few2 times2 also2,"haan1 , <unk> hai1 hai1",Maine1 ise1 kaee1 baar1 dekha1 hai1
Are1 there2 any2 reviews2 ?,"<unk> , hai1 hai1",kuch2 reviews2 hein2 ?
LOKI1,<unk>,loki1
I2 think2 I2 have2 found2 my2 movie2 for2 tonight2 !,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",mujhe1 lagata1 hai1 ki1 mujhe1 aaj1 raat1 ke1 lie1 apanee1 philm1 mil1 gaee1 hai1 !
