Input,Predicted,Actual
Cool1 ! khoun1 sa1 character2 tha2 ?,"what2 , a2 the2",Cool2 ! Which2 character2 is2 it2 ?
"well2 to2 tum1 iske1 liye1 in1 ho1 , ye1 ek1 best2 seller2 par2 based2 he2","it2 , is2 the2 , <unk> , . the2 . <unk> .","well2 you're2 in2 for2 it2 , this2 ones2 based2 on2 a2 best2 seller2"
Fairly2 old2,i2 .,Fairly2 old2
kya1 soundtrack2 tumhara1 favorite2 part2 tha1 ?,"what2 , a2 the2 of2",Was2 the2 soundtrack2 your2 favorite2 part2 ?
bahut1 cool1 lagata1 hai1,"i2 , .",that2 sounds2 cool2
Mujhe1 wo1 part1 yaad1 hau1 . Main1 movie1 ki1 ending2 enjoy2 ki2 .,"i2 , , it2 the2 , . . . . . .",I2 do2 remember2 that2 part2 . I2 enjoyed2 the2 ending2 of2 the2 movie2 .
Usne1 duniya1 ka1 sabse1 bada1 social2 network2 banaya1 but1 wo1 ek1 aisa1 aadmi1 lagta1 hai1 jise1 log1 hate1 karte1 hai1,"i2 , it2 the2 the2 , , , , , the2 the2 . . . . . . . . .","He2 founded2 the2 biggest2 social2 network2 the2 world2 has2 ever2 seen2 , but2 he2 seems2 like2 a2 person2 who2 people2 hate2 ."
hello1,yeses2 can2,hello1
Indeed2 . me1 paloonga1,"i2 , .",Indeed2 . I2 shall2 Abide2 .
ye1 2010 se1 hai1,"i2 ,",It2 is2 from2 2010
aapko1 gatsby1 ka1 role1 kon2 play1 kiya1 patha1 hein1 ?,what2 you2 you2 the2 of2 the2 ?,Do1 you1 know1 who2 plays2 Gatsby2 ?
Mujhe1 lagata1 hai1 ki1 aapako1 darkest2 hour2 kee1 tulana1 mein2 dunkirk2 dekhana1 hoga1 .,"i2 , , it2 the2 , . . . . . . .",I2 guess2 you2 have2 to2 watch2 dunkirk2 than2 darkest2 hour2 .
kya1 aur1 kuchh1 hai1 jo1 mujhe1 jaanana1 chaahie1 ?,"what2 , a2 the2 of2 the2",is2 there2 anything2 else2 i2 should2 know2 ?
Kisi1 ne1 bhi1 puppy1 ke1 maare1 jane1 ka1 badla1 nhi1 liya1 .,"i2 , , it2 the2 , . . . . . . .",nobody2 have2 a2 vengeance2 for2 their2 puppy2 got2 killed2
Ha1 wo1 struggle2 tha2,"i2 , .",yup2 that's2 the2 struggle2
"MEIN1 MAANTHA1 HOON1 , YEH1 PIXAR1 KA1 SAFE2 BET1 HEIN1 , JIS1 TARAH1 VOH1 PRESENT1 KIYE1","i2 , , it2 the2 , . . . the2 . . . . .","I2 agree2 , it2 was2 a2 very2 safe2 bet2 for2 Pixar2 with2 how2 they2 presented2 it2 ."
oh1 maine1 thor1 ka1 bhai1 dekha1 kya1 tumne1 pehli1 do1 film2 delhi1 hai1 ?,"it2 , is2 the2 a2 , <unk> , <unk> the2 . .",Ah1 I1 see2 ! Thor's2 brother2 . Have2 you2 seen2 the2 first2 two2 films2 ?
upper2 class2 family2 logon1 tho1 kabhi1 bhi1 rude1 hi1 hote1,"i2 , , it2 the2 . . . . .",Upper2 class2 family's2 in2 films2 always2 appear2 to2 be2 rude2
